tower_id,unit_number,status,base_price,configuration
1,A-101,Available,5000000,3BHK
1,A-102,Available,5000000,3BHK
1,A-103,Available,5000000,3BHK
1,A-104,Available,5000000,3BHK
1,A-105,Available,5000000,3BHK
1,A-201,Available,5000000,3BHK
1,A-202,Available,5000000,3BHK
1,A-203,Available,5000000,3BHK
1,A-204,Available,5000000,3BHK
1,A-205,Available,5000000,3BHK
2,B-101,Available,4800000,3BHK
2,B-102,Available,4800000,3BHK
2,B-103,Available,4800000,3BHK
2,B-104,Available,4800000,3BHK
2,B-201,Available,4800000,3BHK
2,B-202,Available,4800000,3BHK
2,B-203,Available,4800000,3BHK
2,B-204,Available,4800000,3BHK
2,C-101,Available,5200000,3BHK
2,C-102,Available,5200000,3BHK
2,C-103,Available,5200000,3BHK
2,C-104,Available,5200000,3BHK
2,C-105,Available,5200000,3BHK
2,C-201,Available,5200000,3BHK
2,C-202,Available,5200000,3BHK
2,C-203,Available,5200000,3BHK
2,C-204,Available,5200000,3BHK
2,C-205,Available,5200000,3BHK
7,S01,Available,8000000,Shop
7,S02,Available,8000000,Shop
7,S03,Available,8000000,Shop
7,S04,Available,8000000,Shop
7,S05,Available,8000000,Shop
7,S06,Available,8000000,Shop
7,S07,Available,8000000,Shop
7,S08,Available,8000000,Shop
